4508171,三岛由纪夫 Yukio Mishima,男,1925-01-14 至 1970-11-25,日本,"[('金阁寺', '8.6', '11293'), ('潮骚', '8.2', '6178'), ('春雪', '8.9', '4204'), ('假面自白', '8.4', '4200'), ('爱的饥渴', '8.0', '2450'), ('奔马', '8.8', '1536')]"
348272,詹姆斯·伍德 James Wood,男,1965-11-01,英国,"[('小说机杼', '9.0', '634'), ('最接近生活的事物', '9.0', '182'), ('不负责任的自我', '9.0', '104'), ('私货', '8.5', '30')]"
234533,布鲁诺·舒尔茨 Bruno Schulz,男,1892-07-12 至 1942-11-19,波兰,"[('鳄鱼街', '8.5', '1266'), ('肉桂色铺子', '8.8', '729'), ('与撒旦的约定', '7.5', '43')]"
234536,陆源,男,1980,中国,"[('祖先的爱情', '8.1', '268'), ('沙漏做招牌的疗养院', '8.6', '185'), ('肉桂色铺子及其他故事', '9.1', '70'), ('范湖湖的奇幻夏天', '8.5', '26')]"
145451,刘以鬯,男,1918-12-07,中国,"[('酒徒', '8.4', '623'), ('迷楼', '8.0', '262'), ('对倒', '8.2', '235'), ('刘以鬯小说自选集', '8.9', '135'), ('天堂与地狱', '8.2', '25'), ('过去的日子/郁金香文丛', '7.0', '16')]"
4528097,胡利奥·科塔萨尔 Julio Cortázar,男,1914-08-26 至 1984-02-02,阿根廷,"[('万火归一', '8.7', '3497'), ('克罗诺皮奥与法玛的故事', '8.8', '2187'), ('动物寓言集', '8.3', '1650'), ('游戏的终结', '8.7', '1349'), ('跳房子', '8.5', '1001'), ('被占的宅子', '8.6', '690')]"
4570571,安·泰勒 Anne Tyler,女,1941-10-25,美国,"[('思家小馆的晚餐', '7.8', '429'), ('呼吸课', '7.8', '299'), ('凯特的选择', '7.8', '93'), ('意外的旅客', '8.1', '55'), ('发展心理学与你', '8.0', '28'), ('伊恩的救赎', '5.5', '26')]"
4528225,弗拉基米尔·纳博科夫 Vladimir Nabokov,男,1899-04-22 至 1977-07-02,美国,"[('洛丽塔', '7.7', '54900'), ('黑暗中的笑声', '8.4', '1677'), ('微暗的火', '8.6', '1455'), ('普宁', '8.2', '1407'), ('说吧，记忆', '8.8', '1404'), ('玛丽', '8.2', '1285')]"
1324068,阿巴斯·基阿鲁斯达米 Abbas Kiarostami,男,1940-06-22 至 2016-07-04,伊朗,"[('随风而行', '8.6', '1450'), ('一只狼在放哨', '8.5', '412')]"
4526928,黄灿然,男,1963-12,中国,"[('论摄影', '8.8', '3372'), ('里尔克诗选', '8.9', '3292'), ('论摄影', '8.8', '3202'), ('为什么读经典', '8.4', '3012'), ('聂鲁达诗选', '8.7', '1944'), ('新千年文学备忘录', '9.2', '1880')]"
4514884,莫言,男,1955-02-17,中国,"[('蛙', '7.9', '13202'), ('檀香刑', '8.2', '12593'), ('生死疲劳', '8.2', '8548'), ('丰乳肥臀', '8.0', '6658'), ('红高粱家族', '8.3', '2336'), ('透明的红萝卜', '7.8', '1822')]"
799466,纳丁·戈迪默 Nadine Gordimer,女,1923-11-20 至 2014-07-14,南非,"[('偶遇者', '8.1', '130'), ('贝多芬是1/16黑人', '7.7', '114'), ('童年时光', '7.9', '100'), ('爱的讲述', '8.2', '62'), ('新生', '6.8', '48'), ('我儿子的故事', '7.7', '43')]"
4532740,威廉·戈尔丁 William Golding,男,1911-09-19 至 1993-06-19,英国,"[('蝇王', '8.3', '6249'), ('黑暗昭昭', '7.5', '100'), ('埃及纪行', '7.0', '44'), ('金字塔', '8.5', '44'), ('品彻·马丁', '7.8', '37'), ('启蒙之旅', '8.2', '34')]"
4502598,董乐山,男,1924-11-14 至 1999-01-16,中国,"[('一九八四·动物农场', '9.3', '24918'), ('一九八四', '9.3', '24293'), ('蒂凡尼的早餐', '8.1', '8631'), ('西行漫记', '8.4', '2062'), ('巴黎烧了吗?', '8.8', '1897'), ('锅匠，裁缝，士兵，间谍', '8.3', '1792')]"
