安东尼·德·圣-埃克苏佩里 Antoine de Saint-Exupéry,9.0,男,法国
托芙·扬松 Tove Jansson,9.0,女,芬兰
叶广芩,9.0,女,中国
盐野七生 Nanami Shiono,9.000000000000002,女,日本
艾萨克·阿西莫夫 Isaac Asimov,9.016666666666666,男,美国
松本零士 Leiji Matsumoto,9.016666666666666,男,日本
路易斯·塞尔努达 Luis Cernuda,9.016666666666666,男,西班牙
阿图尔·叔本华 Arthur Schopenhauer,9.016666666666667,男,德国
手塚治虫,9.016666666666667,男,日本
汪曾祺,9.049999999999999,男,中国
司马迁,9.05,男,中国
富坚义博 Yoshihiro Togashi,9.066666666666666,男,とがし よしひろ
豪·路·博尔赫斯 Jorge Luis Borges,9.083333333333332,男,阿根廷
伊曼努尔·康德 Immanuel Kant,9.083333333333334,男,德国
西嶋定生 Sadao Nishijima,9.1,男,日本
仇鹿鸣 Qiu Luming,9.1,男,中国
弗兰克·米勒 Frank Miller,9.15,男,美国
傅惟慈,9.183333333333334,男,中国
阿瑟·柯南·道尔 Arthur Conan Doyle,9.2,男,英国
谭其骧,9.216666666666667,男,中国
安房直子 Shayon Ann,9.216666666666667,女,中国
阿兰·摩尔 Alan Moore,9.22,男,英国
田中芳树,9.266666666666666,男,日本
乔治·R·R·马丁 George R.R. Martin,9.366666666666667,男,美国
浦泽直树 Naoki Urasawa,9.366666666666667,男,日本
藤子·F·不二雄 Fujiko F. Fujio,9.366666666666667,男,日本
侯世达 Douglas Richard Hofstadter,9.4,男,美国
尾田荣一郎 Eiichiro Oda,9.4,男,日本
荒川弘 Hiromu Arakawa,9.4,女,日本
陈寅恪,9.4,男,中国
